,TM,address_city,address_gu,sub_address,STN,ta_max,ta_min,ta_max_min,hm_min,hm_max,ws_max,ws_ins_max,rn_day,call_count
0,20240501,부산광역시,강서구,대저2동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,1
1,20240501,부산광역시,강서구,생곡동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,1
2,20240501,부산광역시,강서구,송정동,937,16.9,9.9,7.0,55.3,93.9,4.5,9.7,0.0,1
3,20240501,부산광역시,강서구,신호동,950,16.6,11.4,5.2,48.1,84.6,6.4,13.5,0.0,1
4,20240501,부산광역시,금정구,구서동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,1
5,20240501,부산광역시,금정구,남산동,939,18.0,7.4,10.6,44.7,94.8,3.9,9.8,0.0,2
6,20240501,부산광역시,금정구,부곡동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,1
7,20240501,부산광역시,금정구,청룡동,939,18.0,7.4,10.6,44.7,94.8,3.9,9.8,0.0,1
8,20240501,부산광역시,기장군,기장읍,923,17.2,10.7,6.5,56.1,94.7,4.7,11.0,0.0,1
9,20240501,부산광역시,기장군,장안읍,923,17.2,10.7,6.5,56.1,94.7,4.7,11.0,0.0,1
10,20240501,부산광역시,기장군,정관읍,923,17.2,10.7,6.5,56.1,94.7,4.7,11.0,0.0,2
11,20240501,부산광역시,기장군,철마면,939,18.0,7.4,10.6,44.7,94.8,3.9,9.8,0.0,1
12,20240501,부산광역시,남구,대연동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,1
13,20240501,부산광역시,남구,문현동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,1
14,20240501,부산광역시,남구,용당동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,1
15,20240501,부산광역시,남구,용호동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,2
16,20240501,부산광역시,동구,범일동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,1
17,20240501,부산광역시,동구,초량동,159,17.5,11.4,6.1,46.1,84.2,5.7,11.7,0.0,2
18,20240501,부산광역시,동래구,명륜동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,2
19,20240501,부산광역시,동래구,사직동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,1
20,20240501,부산광역시,동래구,안락동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,1
21,20240501,부산광역시,동래구,온천동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,2
22,20240501,부산광역시,부산진구,가야동,938,17.2,9.9,7.3,45.8,82.1,3.9,8.1,0.0,1
23,20240501,부산광역시,부산진구,개금동,938,17.2,9.9,7.3,45.8,82.1,3.9,8.1,0.0,1
24,20240501,부산광역시,부산진구,범천동,942,16.7,10.6,6.1,56.8,89.7,6.8,14.2,0.0,2
25,20240501,부산광역시,부산진구,부전동,938,17.2,9.9,7.3,45.8,82.1,3.9,8.1,0.0,1
26,20240501,부산광역시,부산진구,전포동,938,17.2,9.9,7.3,45.8,82.1,3.9,8.1,0.0,1
27,20240501,부산광역시,북구,구포동,941,18.4,10.6,7.8,42.4,82.3,6.2,10.9,0.0,1
28,20240501,부산광역시,북구,금곡동,941,18.4,10.6,7.8,42.4,82.3,6.2,10.9,0.0,3
29,20240501,부산광역시,북구,화명동,941,18.4,10.6,7.8,42.4,82.3,6.2,10.9,0.0,2
30,20240501,부산광역시,사상구,감전동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,2
31,20240501,부산광역시,사상구,괘법동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,1
32,20240501,부산광역시,사상구,모라동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,1
33,20240501,부산광역시,사상구,주례동,938,17.2,9.9,7.3,45.8,82.1,3.9,8.1,0.0,1
34,20240501,부산광역시,사상구,학장동,904,18.5,11.1,7.4,42.5,82.5,6.5,11.6,0.0,1
35,20240501,부산광역시,사하구,괴정동,950,16.6,11.4,5.2,48.1,84.6,6.4,13.5,0.0,1
36,20240501,부산광역시,사하구,다대동,950,16.6,11.4,5.2,48.1,84.6,6.4,13.5,0.0,1
37,20240501,부산광역시,사하구,당리동,950,16.6,11.4,5.2,48.1,84.6,6.4,13.5,0.0,2
38,20240501,부산광역시,사하구,하단동,950,16.6,11.4,5.2,48.1,84.6,6.4,13.5,0.0,1
39,20240501,부산광역시,서구,부민동,159,17.5,11.4,6.1,46.1,84.2,5.7,11.7,0.0,1
40,20240501,부산광역시,수영구,남천동,937,16.9,9.9,7.0,55.3,93.9,4.5,9.7,0.0,1
41,20240501,부산광역시,연제구,거제동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,1
42,20240501,부산광역시,연제구,연산동,940,16.9,10.2,6.7,46.8,91.3,3.3,8.7,0.0,4
