,AWS 정보,강수량,WBGT,지역구,행정동,신고대분류,신고세부항목,신고건수
0,904,0.0,17.851324001178007,0,34,0,0,1.0
1,921,0.0,18.873148535484688,0,121,1,0,1.0
2,940,0.0,18.753479986908438,1,16,0,5,1.0
3,941,0.0,17.865344943948422,1,17,2,11,1.0
4,939,0.0,19.04241792378599,1,21,0,5,1.0
5,939,0.0,19.04241792378599,1,21,2,11,2.0
6,940,0.0,18.753479986908438,1,65,0,5,1.0
7,940,0.0,18.753479986908438,1,107,0,0,1.0
8,923,0.0,19.967742989039643,2,18,0,0,1.0
9,923,0.0,19.967742989039643,2,103,0,5,1.0
10,923,0.0,19.967742989039643,2,103,1,8,1.0
11,923,0.0,19.967742989039643,2,106,3,6,1.0
12,942,0.0,17.111280011679575,3,1,2,11,1.0
13,942,0.0,17.234035444705608,3,52,0,5,3.0
14,942,0.0,17.356790877731637,3,100,0,0,3.0
15,942,0.0,17.356790877731637,3,100,0,5,1.0
16,942,0.0,17.479546310757666,4,58,2,11,1.0
17,159,0.0,15.397810285331396,4,82,0,0,1.0
18,942,0.0,17.602301743783695,4,113,0,5,1.0
19,159,0.0,15.397810285331396,4,125,0,5,2.0
20,940,0.0,18.753479986908438,5,49,0,0,1.0
21,940,0.0,18.753479986908438,5,49,0,5,1.0
22,940,0.0,18.753479986908438,5,49,2,11,1.0
23,940,0.0,18.753479986908438,5,89,0,5,1.0
24,940,0.0,18.753479986908438,5,98,2,11,2.0
25,938,0.0,18.556962124507553,6,0,0,5,2.0
26,938,0.0,18.556962124507553,6,0,2,11,1.0
27,938,0.0,18.765451534734602,6,67,0,5,1.0
28,938,0.0,18.97394094496165,6,69,0,0,2.0
29,941,0.0,18.725285641789824,7,15,0,5,1.0
30,941,0.0,18.940270816250177,7,46,1,8,1.0
31,941,0.0,18.940270816250177,7,46,2,11,1.0
32,941,0.0,19.155255990710522,7,133,0,5,1.0
33,941,0.0,19.155255990710522,7,133,2,11,1.0
34,904,0.0,17.851324001178007,8,9,0,0,1.0
35,904,0.0,17.851324001178007,8,51,0,5,1.0
36,904,0.0,17.851324001178007,8,72,0,5,1.0
37,904,0.0,17.851324001178007,8,92,0,5,1.0
38,904,0.0,17.851324001178007,8,132,0,0,1.0
39,159,0.0,15.397810285331396,9,3,0,5,1.0
40,950,0.0,18.65052018219511,9,28,0,0,1.0
41,950,0.0,18.65052018219511,9,86,0,5,1.0
42,950,0.0,18.65052018219511,9,105,0,5,1.0
43,159,0.0,15.397810285331396,10,88,0,0,1.0
44,159,0.0,15.397810285331396,10,90,0,5,1.0
45,937,0.0,17.678027161911707,11,8,0,5,1.0
46,937,0.0,17.678027161911707,11,22,0,0,1.0
47,937,0.0,17.678027161911707,11,22,0,5,1.0
48,940,0.0,18.753479986908438,11,47,0,0,1.0
49,940,0.0,18.753479986908438,11,47,0,5,1.0
50,937,0.0,17.678027161911707,11,54,0,5,1.0
51,940,0.0,18.753479986908438,12,93,0,0,1.0
52,940,0.0,18.753479986908438,12,93,0,5,4.0
53,940,0.0,18.753479986908438,12,93,2,11,4.0
54,159,0.0,15.397810285331396,13,24,0,5,1.0
55,159,0.0,15.397810285331396,13,31,0,5,1.0
56,910,0.0,16.88844704846831,13,43,0,0,2.0
57,910,0.0,16.88844704846831,13,43,0,5,3.0
58,159,0.0,15.397810285331396,13,84,0,0,1.0
59,159,0.0,15.397810285331396,14,23,0,0,1.0
60,159,0.0,15.397810285331396,14,23,0,1,1.0
61,159,0.0,15.397810285331396,14,118,2,4,1.0
62,937,0.0,17.678027161911707,15,55,0,5,1.0
63,937,0.0,17.678027161911707,15,55,2,11,1.0
64,937,0.0,17.678027161911707,15,56,0,5,1.0
65,937,0.0,17.678027161911707,15,79,1,10,1.0
66,937,0.0,17.678027161911707,15,108,0,0,2.0
67,937,0.0,17.678027161911707,15,108,1,0,1.0
68,937,0.0,17.678027161911707,15,112,0,0,1.0
69,937,0.0,17.678027161911707,15,117,0,1,1.0
70,904,0.5,18.080857474148964,0,33,0,5,1.0
71,904,0.5,18.080857474148964,0,33,2,9,1.0
72,904,0.5,18.080857474148964,0,50,0,5,2.0
73,904,0.5,18.080857474148964,0,73,0,0,1.0
74,904,0.5,18.080857474148964,0,73,1,0,1.0
75,937,1.0,18.890411527077415,0,79,0,0,2.0
76,950,1.0,19.431061284922766,0,87,0,5,2.0
77,921,1.5,18.47970827394507,0,121,0,5,1.0
78,939,0.0,21.126971988562204,1,45,0,5,1.0
79,939,0.0,20.613432802538636,1,123,0,5,1.0
80,923,0.0,20.047977969554903,2,103,2,11,1.0
81,923,0.0,20.047977969554903,2,111,2,11,1.0
82,939,0.0,20.295669767997474,2,122,0,0,1.0
83,942,1.0,17.276680524768835,3,32,0,0,4.0
84,942,1.0,17.44091676945184,3,100,0,5,1.0
85,159,1.1,17.40425391298613,4,82,0,5,1.0
86,159,1.1,17.40425391298613,4,125,0,0,1.0
87,159,1.1,17.40425391298613,4,125,0,5,1.0
88,940,0.5,19.460646586182595,5,49,0,5,1.0
89,940,0.5,19.460646586182595,5,49,2,11,1.0
90,940,0.5,19.460646586182595,5,89,0,0,1.0
91,940,0.5,19.460646586182595,5,98,0,5,3.0
92,938,0.5,19.465441189680813,6,5,0,0,1.0
93,938,0.5,19.465441189680813,6,5,0,5,2.0
94,938,0.5,19.465441189680813,6,5,1,13,1.0
95,938,0.5,19.658554345807172,6,29,0,0,2.0
96,938,0.5,19.851667501933534,6,69,0,0,2.0
97,938,0.5,19.851667501933534,6,69,0,5,2.0
98,938,0.5,20.044780658059892,6,109,0,5,1.0
99,941,0.0,19.885875709135526,7,14,0,0,1.0
100,941,0.0,19.885875709135526,7,14,0,5,2.0
101,941,0.0,20.07488332201349,7,15,0,5,1.0
102,941,0.0,20.263890934891457,7,133,0,0,1.0
103,904,0.5,18.080857474148964,8,40,2,9,1.0
104,904,0.5,18.080857474148964,8,132,2,9,1.0
105,950,1.0,19.431061284922766,9,10,0,5,2.0
106,159,1.1,17.40425391298613,9,13,0,5,1.0
107,950,1.0,19.431061284922766,9,28,0,5,1.0
108,950,1.0,19.431061284922766,9,105,0,0,3.0
109,950,1.0,19.431061284922766,9,131,1,0,1.0
110,159,1.1,17.40425391298613,10,20,2,9,1.0
111,159,1.1,17.40425391298613,10,90,2,9,1.0
112,159,1.1,17.40425391298613,10,128,0,5,1.0
113,937,1.0,18.890411527077415,11,8,0,0,1.0
114,940,0.5,19.460646586182595,11,47,0,5,1.0
115,940,0.5,19.460646586182595,11,47,2,9,1.0
116,937,1.0,18.890411527077415,11,54,0,0,1.0
117,940,0.5,19.460646586182595,12,6,0,5,1.0
118,940,0.5,19.460646586182595,12,93,0,0,3.0
119,940,0.5,19.460646586182595,12,93,0,5,2.0
120,159,1.1,17.40425391298613,13,24,0,5,1.0
121,159,1.1,17.40425391298613,13,37,1,10,1.0
122,910,1.5,16.979775459681285,13,43,0,5,1.0
123,159,1.1,17.40425391298613,14,96,0,0,1.0
124,937,1.0,18.890411527077415,15,56,0,5,1.0
125,937,1.0,18.890411527077415,15,101,1,8,1.0
126,937,1.0,18.890411527077415,15,101,1,10,2.0
127,937,1.0,18.890411527077415,15,108,1,0,1.0
128,937,1.0,18.890411527077415,15,112,0,0,1.0
129,937,1.0,18.890411527077415,15,117,0,5,2.0
130,904,16.0,15.272545476008212,0,33,1,0,2.0
131,904,16.0,15.272545476008212,0,34,0,0,1.0
132,904,16.0,15.272545476008212,0,50,0,5,1.0
133,904,16.0,15.272545476008212,0,64,1,0,1.0
134,950,15.0,14.85106269927756,0,87,1,0,1.0
135,939,10.0,17.625139746660963,1,21,0,5,1.0
136,940,12.0,16.117168979157906,1,65,0,5,1.0
137,940,12.0,16.117168979157906,1,75,0,0,1.0
138,940,12.0,16.117168979157906,1,75,0,5,1.0
139,940,12.0,16.117168979157906,1,107,0,5,1.0
140,923,9.0,17.81770902999364,2,18,0,5,2.0
141,923,9.0,17.81770902999364,2,18,1,0,1.0
142,923,9.0,17.81770902999364,2,106,0,5,1.0
143,923,9.0,17.81770902999364,2,111,0,0,1.0
144,923,9.0,17.81770902999364,2,111,2,11,1.0
145,942,21.0,16.84664329070944,3,52,0,0,1.0
146,942,21.0,16.87690970953903,3,99,0,5,1.0
147,942,21.0,16.907176128368622,4,58,0,5,2.0
