iter	RMSE
0	1.286491703
1	1.284245428
2	1.282129465
3	1.280049629
4	1.278045933
5	1.276196824
6	1.274140196
7	1.271987918
8	1.270089742
9	1.268150981
10	1.266460333
11	1.264735766
12	1.262961208
13	1.261241689
14	1.259567368
15	1.25785939
16	1.256254075
17	1.254517882
18	1.252644256
19	1.250985378
20	1.249246645
21	1.247718601
22	1.245976116
23	1.244636531
24	1.243047796
25	1.241595633
26	1.240086103
27	1.23868509
28	1.237175972
29	1.235929003
30	1.234296039
31	1.232764401
32	1.231394426
33	1.230017737
34	1.228796451
35	1.227562829
36	1.226039315
37	1.224908069
38	1.223668473
39	1.22225323
40	1.221074761
41	1.219873648
42	1.218642112
43	1.217377839
44	1.21621532
45	1.215141102
46	1.213895427
47	1.212925323
48	1.211808119
49	1.210506747
50	1.209551278
51	1.208333959
52	1.207431462
53	1.206292463
54	1.205116942
55	1.204201127
56	1.203278058
57	1.20218135
58	1.201181125
59	1.200157171
60	1.199131356
61	1.198228258
62	1.197186856
63	1.196098546
64	1.195197538
65	1.194179362
66	1.193142656
67	1.192078512
68	1.191261001
69	1.190321009
70	1.189337011
71	1.188546111
72	1.187776737
73	1.186958438
74	1.185997393
75	1.185148159
76	1.184152561
77	1.183421827
78	1.182803611
79	1.18207254
80	1.18125812
81	1.180412914
82	1.17959207
83	1.178864914
84	1.178213695
85	1.177303249
86	1.17653792
87	1.175796649
88	1.17498146
89	1.174183244
90	1.173582769
91	1.172956393
92	1.172160791
93	1.171261137
94	1.170529601
95	1.169786197
96	1.168952772
97	1.168389907
98	1.167679656
99	1.16716425
