iter	Passed	Remaining
0	147	14649
1	156	7658
2	165	5344
3	171	4124
4	175	3343
5	178	2803
6	181	2416
7	184	2124
8	188	1901
9	190	1718
10	193	1567
11	196	1440
12	199	1333
13	202	1241
14	205	1162
15	207	1091
16	210	1028
17	213	971
18	216	921
19	219	876
20	221	835
21	224	796
22	227	761
23	230	729
24	233	699
25	236	671
26	238	646
27	241	621
28	244	598
29	247	577
30	250	557
31	253	538
32	256	519
33	259	502
34	262	486
35	264	470
36	267	456
37	270	441
38	273	427
39	276	414
40	279	401
41	282	389
42	285	378
43	288	366
44	291	356
45	294	345
46	297	335
47	300	325
48	302	315
49	305	305
50	308	296
51	311	287
52	314	278
53	317	270
54	319	261
55	322	253
56	325	245
57	328	237
58	331	230
59	333	222
60	336	215
61	339	208
62	342	201
63	344	194
64	347	187
65	350	180
66	353	174
67	356	167
68	358	161
69	361	154
70	364	148
71	367	142
72	370	137
73	373	131
74	375	125
75	378	119
76	381	114
77	384	108
78	387	102
79	390	97
80	393	92
81	395	86
82	398	81
83	401	76
84	404	71
85	407	66
86	410	61
87	413	56
88	415	51
89	418	46
90	421	41
91	424	36
92	427	32
93	430	27
94	433	22
95	435	18
96	438	13
97	441	9
98	444	4
99	446	0
